Summary,Internal ID,Number,Account,Type,Description,Currency,Foreign Currency Balance,Balance
No,1394,31010008,Other payables - DCS Credit Card,Other Current Liability,To record expenses paid using company credit card.,,S$0.00 ,0.00 
No,1400,31010009,ImToken Advance Received,Other Current Liability,,,S$0.00 ,0.00 
No,1403,31010010,Provisioning,Other Current Liability,For Collateral collected from merchant under acquiring,,S$0.00 ,0.00 
No,717,31010004,Advance Payments received,Other Current Liability,,,S$0.00 ,"35,103,776.25 "
No,1127,31020001,Amount due to Intercompany,Accounts Payable,,,S$0.00 ,"(157,557,956.97)"
No,720,31020003,Amount due to related company,Other Current Liability,,,S$0.00 ,"(414,500.00)"
Yes,243,32000000,Accruals & Provision,Other Current Liability,,,S$0.00 ,"(8,990,110.83)"
No,721,32010001,Accrued Marketing,Other Current Liability,fka Provn-C/member Promotion,,S$0.00 ,(1.00)
No,722,32010002,Provn-Club Reward Points,Other Current Liability,,,S$0.00 ,0.00 
No,723,32010003,Provision-DCI - Exch Diff  (ATM),Other Current Liability,,,S$0.00 ,231.22 
No,724,32010004,Provision-Credit/Auth,Other Current Liability,,,S$0.00 ,"(4,600.00)"
No,725,32010005,Provision-EDC rental,Other Current Liability,,,S$0.00 ,"(115,227.80)"
No,726,32010006,Provision-EDC Maint/Others,Other Current Liability,,,S$0.00 ,"(101,173.24)"
No,727,32010007,Provision-Investigate/Colln,Other Current Liability,,,S$0.00 ,"(42,100.15)"
No,728,32010008,Provision-SEC Asso Costs,Other Current Liability,,,S$0.00 ,"(184,081.99)"
No,729,32010009,Accrued Franchise Fees,Other Current Liability,,,S$0.00 ,0.00 
No,730,32010010,Accrued CAB Rebates,Other Current Liability,,,S$0.00 ,"(4,120,059.51)"
No,731,32010011,Accrued Loan interest,Other Current Liability,,,S$0.00 ,"(1,078,111.26)"
No,1142,32010012,Accrued Interchange Commission,Other Current Liability,,,S$0.00 ,"(25,884.60)"
No,1353,32010013,Provision-Fraud,Other Current Liability,provision for fraud statistics,,S$0.00 ,"(11,023.32)"
No,1378,32010014,Technology,Other Current Liability,to capture monthly IT accruals,,S$0.00 ,0.00 
No,732,32020001,Accrued Salaries,Other Current Liability,,,S$0.00 ,"(206,954.56)"
No,733,32020002,Accrued CPF,Other Current Liability,,,S$0.00 ,"(192,855.02)"
No,734,32020003,Accrued FWL/SDL,Other Current Liability,,,S$0.00 ,"(3,679.29)"
No,735,32020004,Accrued AWS,Other Current Liability,,,S$0.00 ,0.00 
No,736,32020005,Accrued Bonus,Other Current Liability,,,S$0.00 ,0.00 
No,737,32020006,Accrued Staff Commission,Other Current Liability,,,S$0.00 ,0.00 
No,738,32020007,Provision for Unutilised Leave,Other Current Liability,,,S$0.00 ,"(518,186.00)"
No,739,32020008,Provision-Staff Benefit,Other Current Liability,,,S$0.00 ,0.00 
No,1148,32020009,Control-staff A/C,Other Current Liability,,,S$0.00 ,"(31,999.00)"
No,740,32030001,Accrued Audit Fees,Other Current Liability,,,S$0.00 ,"(221,835.00)"
No,741,32030002,Accrued Tax Fees,Other Current Liability,,,S$0.00 ,"(48,181.66)"
No,742,32030003,Accrued Professional Fees,Other Current Liability,,,S$0.00 ,"(160,153.86)"
No,743,32030004,Accrued Expenses-Others,Other Current Liability,,,S$0.00 ,"(1,924,234.79)"
No,744,33010001,Finance Lease,Other Current Liability,,,S$0.00 ,"(115,752.09)"
No,214,33010002,Deferred Revenue,Deferred Revenue,,,S$0.00 ,"(348,570.55)"
No,746,33010003,Customer Deposit,Other Current Liability,,,S$0.00 ,"(21,620.20)"
No,747,34010001,Provision for Corporate Tax,Other Current Liability,,,S$0.00 ,"(18,017.60)"
No,748,35010000,Loans & Borrowings,Other Current Liability,,,S$0.00 ,"(21,052,424.47)"
No,749,35010001,MBB CA OD #1830,Other Current Liability,,,S$0.00 ,"55,383.41 "
No,750,35010002,DFSAP Working Cap DBS #9411294,Other Current Liability,,,S$0.00 ,"(4,323,330.57)"
No,751,35010003,DFSAP Working Cap UOB #3073156,Other Current Liability,,,S$0.00 ,0.00 
No,1315,35010004,IFS Capital Limited,Other Current Liability,,,S$0.00 ,0.00 
No,1369,35010005,Green Link Digital Bank,Other Current Liability,Loan facility,,S$0.00 ,"(10,361,608.11)"
No,1373,35010006,Green Link Digital Bank Term Loan,Other Current Liability,term loan from Green Link,,S$0.00 ,"(6,422,869.20)"
No,1404,35010008,Loan from Shareholder,Other Current Liability,,,S$0.00 ,0.00 
No,1380,35010007,Green Link Digital Bank - USD,Other Current Liability,Loan facility (USD),,S$0.00 ,0.00 
No,752,36010001,Dividends Payables,Other Current Liability,,,S$0.00 ,0.00 
No,925,40010001,Finance Leases,Long Term Liability,,,S$0.00 ,"(152,144.58)"
No,926,40020001,Loans & Borrowing,Long Term Liability,,,S$0.00 ,0.00 
No,755,40030001,Deferred Tax Liability,Long Term Liability,,,S$0.00 ,"(4,585,089.10)"
No,927,40030002,LT Deferred Revenue,Long Term Liability,,,S$0.00 ,"(42,304.51)"
Yes,244,50000000,Equity,Equity,,,S$0.00 ,"(158,533,041.96)"
No,757,50010001,Share Capital,Equity,,,S$0.00 ,"(125,940,435.11)"
No,758,50020001,Reserves,Equity,,,S$0.00 ,"(27,767,863.06)"
No,759,50030001,Currency Translation,Equity,,,S$0.00 ,0.00 
No,760,50030002,Currency Translation Adj,Equity,,,S$0.00 ,0.00 
No,52,50040000,Retained Earnings,Equity,,,S$0.00 ,"(4,824,743.79)"
Yes,224,60000000,Revenue,Revenue,,,S$0.00 ,"(311,260,982.82)"
No,424,60010100,Comm Earned (Local),Revenue,,,S$0.00 ,"(3,348,370.70)"
No,1188,60010200,Comm Earned (Overseas),Revenue,,,S$0.00 ,0.00 
No,1203,60010300,Comm Earned - CARDNOW (local),Revenue,Commission earned,,S$0.00 ,"(245,739.32)"
No,1204,60010400,Comm Earned - CARDNOW (overseas),Revenue,Commission earned overseas,,S$0.00 ,0.00 
No,1291,60010500,Interchange Fee,Revenue,,,S$0.00 ,"(56,542.36)"
No,1303,60010600,IPP Income,Revenue,,,S$0.00 ,0.00 
No,1304,60010700,T+0 Income,Revenue,,,S$0.00 ,0.00 
No,427,60020003,Membership Fees-GST,Revenue,,,S$0.00 ,"196,809.18 "
No,425,60020100,Membership Fees,Revenue,Local,,S$0.00 ,"(107,856,137.87)"
No,426,60020200,Membership Fees-Waiver,Revenue,,,S$0.00 ,"59,252,447.55 "
No,1189,60020300,Membership Fees (Overseas),Revenue,,,S$0.00 ,"(17,750.76)"
No,1190,60020400,Membership Fees-Waiver (Overseas),Revenue,,,S$0.00 ,"10,396.40 "
No,428,60030100,Card Replacement fee,Revenue,,,S$0.00 ,"(108,350.26)"
No,1226,60030200,Card Replacement Fee-Waiver,Revenue,,,S$0.00 ,"48,521.27 "
No,1324,60030300,Card Fee,Revenue,To charge physical card fee for Lite card,,S$0.00 ,"(6,512.30)"
No,1364,60030400,Card Fee waiver,Revenue,,,S$0.00 ,0.00 
No,429,60040100,Late Payment Fee,Revenue,,,S$0.00 ,"(193,480,053.00)"
No,1227,60040200,Late Payment Fee Waiver,Revenue,,,S$0.00 ,"22,817,043.84 "
No,1191,60040300,Late Payment Fee (Overseas),Revenue,,,S$0.00 ,0.00 
No,1228,60040400,Late Payment Fee (Overseas) Waiver,Revenue,,,S$0.00 ,0.00 
No,1196,60041100,Early Repayment Fee,Revenue,,,S$0.00 ,"(279,650.00)"
No,1265,60041200,Early Repayment Fee waiver,Revenue,,,S$0.00 ,"90,750.00 "
No,1171,60042100,Service Charge,Revenue,,,S$0.00 ,0.00 
No,1229,60042200,Service Charge Waiver,Revenue,,,S$0.00 ,0.00 
No,1321,60042300,Fall-below Fee,Revenue,,,S$0.00 ,"(3,906.96)"
No,1322,60042400,Fall-below Fee Waiver,Revenue,,,S$0.00 ,32.70 
No,430,60043100,Processing Fee,Revenue,,,S$0.00 ,"(1,848,685.82)"
No,1230,60043200,Processing Fee Waiver,Revenue,,,S$0.00 ,"76,353.00 "
No,1195,60044100,Cash Advance Fee,Revenue,,,S$0.00 ,"(1,418,156.31)"
No,1231,60044200,Cash Advance Fee Waiver,Revenue,,,S$0.00 ,"12,980.17 "
No,431,60045100,Interest Income,Revenue,,,S$0.00 ,"(69,761,542.16)"
No,1232,60045200,Interest Income Waiver,Revenue,,,S$0.00 ,"2,293,728.99 "
No,432,60046100,Excess Limit Fee,Revenue,,,S$0.00 ,"(11,333,530.00)"
No,1233,60046200,Excess Limit Fee Waiver,Revenue,,,S$0.00 ,"182,946.67 "
No,433,60050100,Rejected payment/returned chq fee,Revenue,,,S$0.00 ,"(13,079.38)"
No,1266,60050200,Rejected payment/returned chq fee waiver,Revenue,,,S$0.00 ,"8,860.00 "
No,436,60051100,Extraction Fee,Revenue,,,S$0.00 ,(811.42)
No,1277,60051200,Extraction Fees Waiver,Revenue,,,S$0.00 ,61.80 
No,434,60060100,Commission-Insurance,Revenue,,,S$0.00 ,"(2,118,505.68)"
No,435,60070100,Misc Income/Other Fee,Revenue,,,S$0.00 ,"(141,975.88)"
No,1263,60070110,Legal fee recovery,Revenue,,,S$0.00 ,"(485,836.38)"
No,1264,60070115,Legal fee recovery waiver,Revenue,,,S$0.00 ,150.00 
No,1194,60080100,Exchange (Gain) / Loss,Revenue,,,S$0.00 ,"(322,086.32)"
No,1267,60080200,Forex markup,Revenue,,,S$0.00 ,"(296,195.86)"
No,1308,60090100,TA Revenue,Revenue,,,S$0.00 ,0.00 
No,1309,60090200,VA Revenue,Revenue,,,S$0.00 ,0.00 
No,1135,62010100,Advisory Fee Income,Revenue,,,S$0.00 ,"(3,108,645.65)"
Yes,225,61000000,EDC Rental Income,Revenue,,,S$0.00 ,"(2,138,798.08)"
No,437,61010100,EDC-Rental Inc,Revenue,,,S$0.00 ,"(1,288,711.08)"
No,438,61010200,Maintenance Fee income/Others,Revenue,fka EDC-Rental Inc others,,S$0.00 ,"(178,473.73)"
No,439,61020100,EDC-Rental Inc Interco,Revenue,,,S$0.00 ,"(651,773.27)"
No,1146,61020200,EDC-Rental Inc others Interco,Revenue,,,S$0.00 ,"(19,840.00)"
No,1130,61030100,Acquiring Comm-Cepas,Revenue,,,S$0.00 ,0.00 
Yes,226,68000000,Other Income,Other Income,,,S$0.00 ,"(5,822,725.27)"
No,442,68010100,Bad Debts recovered,Other Income,,,S$0.00 ,"(14,015,409.66)"
No,1253,68010200,Interest Recovered,Other Income,,,S$0.00 ,"(724,282.06)"
No,440,68020100,Bank Interest income,Other Income,,,S$0.00 ,(872.45)
No,441,68020200,Intercompany Loan interest income,Other Income,,,S$0.00 ,"(7,499,237.84)"
No,1224,68020300,Loan Interest Income,Other Income,,,S$0.00 ,"(16,099.63)"
No,1371,68020400,ABS Interest income,Other Income,,,S$0.00 ,"(169,423.52)"
No,1177,68030100,DCI Incentive Income,Other Income,,,S$0.00 ,"(973,274.02)"
No,1192,68040100,Management Service Fee Income,Other Income,,,S$0.00 ,"(1,811,107.97)"
No,443,68050100,SEC/WCS,Other Income,,,S$0.00 ,"(267,750.60)"
No,444,68050200,Govt Grant-JSS,Other Income,,,S$0.00 ,0.00 
No,445,68050201,Govt Grant-JGI,Other Income,,,S$0.00 ,"(264,426.00)"
No,1262,68050202,Govt Grant-EDG,Other Income,,,S$0.00 ,0.00 
No,1402,68050203,Govt Grant-SkillsFuture,Other Income,Govt Grant-SkillsFuture,,S$0.00 ,0.00 
No,1132,68060100,Misc Income,Other Income,,,S$0.00 ,"19,919,158.48 "
No,1124,69099100,Card Issuance,Revenue,,,S$0.00 ,0.00 
No,1131,69099110,Voucher Issuance,Revenue,,,S$0.00 ,0.00 
Yes,324,70000000,Operating Expenses,Cost of Goods Sold,,,S$0.00 ,"38,160,016.68 "
Yes,325,70010000,Consumer Cards,Cost of Goods Sold,fka Marketing,,S$0.00 ,"16,703,745.49 "
No,825,70010002,Comm Given,Cost of Goods Sold,,,S$0.00 ,"317,439.05 "
No,826,70020001,Rebates Exp,Cost of Goods Sold,,,S$0.00 ,"9,355,350.96 "
No,830,70040001,Selling Exp-Merchants,Cost of Goods Sold,,,S$0.00 ,"13,916.93 "
No,831,70040002,Selling Exp-Incentive given,Cost of Goods Sold,,,S$0.00 ,"311,933.23 "
No,832,70040003,Selling Exp-Incentive given-CH,Cost of Goods Sold,,,S$0.00 ,"534,663.10 "
No,829,70040004,Selling Exp-Others,Cost of Goods Sold,,,S$0.00 ,"396,065.95 "
No,833,70040005,Selling Exp-Staff costs,Cost of Goods Sold,,,S$0.00 ,"1,481,957.88 "
No,1201,70040006,Selling Exp-Points Redemption,Cost of Goods Sold,,,S$0.00 ,"(364,765.46)"
No,1248,70040007,Selling Exp-Discount received,Cost of Goods Sold,,,S$0.00 ,"(3,292.25)"
No,1269,70040008,Selling Exp-Points Awarded,Cost of Goods Sold,,,S$0.00 ,"737,231.67 "
No,1275,70040009,Selling Exp-Travel Ins,Cost of Goods Sold,Travel insurance coverage for CH,,S$0.00 ,"148,404.46 "
No,1298,70040010,Acquisition,Cost of Goods Sold,,,S$0.00 ,"644,483.68 "
No,1299,70040011,Usage & APP,Cost of Goods Sold,,,S$0.00 ,"243,354.85 "
No,1300,70040012,Loyalty Points,Cost of Goods Sold,,,S$0.00 ,"93,708.01 "
No,1301,70040013,Cashback Funding,Cost of Goods Sold,,,S$0.00 ,"2,373,289.93 "
No,1302,70040014,Product,Cost of Goods Sold,,,S$0.00 ,"420,003.50 "
Yes,326,70050000,Acquiring,Cost of Goods Sold,,,S$0.00 ,"4,082,118.29 "
No,827,70030001,Web Service Fee,Cost of Goods Sold,fka LiquidPay - Web Service Fee under Marketing,,S$0.00 ,"37,883.69 "
No,828,70030002,SMS Notification Fee,Cost of Goods Sold,fka LiquidPay - SMS Notification Fee under Marketing,,S$0.00 ,223.17 
No,834,70050001,EDC-Maintenance,Cost of Goods Sold,,,S$0.00 ,"386,447.63 "
No,835,70050002,EDC-Thermal rolls,Cost of Goods Sold,fka EDC-Sales Slips,,S$0.00 ,"40,835.00 "
No,836,70050003,EDC-Installation fee,Cost of Goods Sold,,,S$0.00 ,"38,582.00 "
No,837,70050004,EDC-Rental Exp,Cost of Goods Sold,,,S$0.00 ,"2,525,585.40 "
No,1243,70050005,EDC-Transaction fees,Cost of Goods Sold,,,S$0.00 ,"217,802.98 "
No,1281,70050006,EDC-Simcards,Cost of Goods Sold,,,S$0.00 ,"115,263.48 "
No,1335,70050007,EDC-Misc Exp,Cost of Goods Sold,,,S$0.00 ,"2,100.00 "
No,838,70060001,EDC-Rental Exp Interco,Cost of Goods Sold,,,S$0.00 ,"622,525.77 "
No,1221,70060002,EDC-Maintenance Interco,Cost of Goods Sold,,,S$0.00 ,"1,800.00 "
No,1222,70060003,EDC-Installation fee Interco,Cost of Goods Sold,,,S$0.00 ,"6,280.00 "
No,839,70070001,EDC-Programme,Cost of Goods Sold,,,S$0.00 ,"67,135.00 "
No,1129,70070002,Cepas,Cost of Goods Sold,Cepas profit share,,S$0.00 ,"19,654.17 "
Yes,327,70080000,Card Scheme Fee,Cost of Goods Sold,,,S$0.00 ,"4,731,201.72 "
No,221,70010001,Royalties,Cost of Goods Sold,"fka Royalties-DCI, fka under Consumer Cards L2",,S$0.00 ,"2,577,386.39 "
No,840,70080001,Network Connectivity Fee,Cost of Goods Sold,fka DCISC-DGN Fee,,S$0.00 ,"96,971.44 "
No,841,70080002,Participation Fee,Cost of Goods Sold,fka DCISC-Participation Fee,,S$0.00 ,"147,786.89 "
No,842,70080003,Global Fraud Fee,Cost of Goods Sold,fka DCISC-Global Fraud Fee,,S$0.00 ,"78,293.98 "
No,843,70080004,Stand-In Authorization Fee,Cost of Goods Sold,fka DCISC-Stand-In Authorization Fee,,S$0.00 ,"4,857.34 "
No,1178,70080005,Technology fee,Cost of Goods Sold,fka DCI Technology fee,,S$0.00 ,"610,050.58 "
No,1179,70080006,Franchise/Licensing & Trademark,Cost of Goods Sold,fka DCI Trademark License Fee,,S$0.00 ,"16,366.25 "
No,1180,70080007,ATM Fee,Cost of Goods Sold,fka DCI ATM Fee,,S$0.00 ,"212,081.61 "
No,1181,70080008,Cross Border Fee,Cost of Goods Sold,fka DCI Cross Border Fee,,S$0.00 ,"83,902.14 "
No,1182,70080009,IMF Contribution,Cost of Goods Sold,IMF is a centralized investment pool dedicated to build,,S$0.00 ,"666,161.06 "
No,1183,70080010,XChange Fee,Cost of Goods Sold,fka DCI XChange Fee,,S$0.00 ,"48,405.50 "
No,1184,70080011,Daily Settlement,Cost of Goods Sold,Fee for using the settlement facilities of DCI.,,S$0.00 ,"21,460.34 "
No,1185,70080012,Bridge Fee,Cost of Goods Sold,Bridge (interface into DCI Service Center) utilization and m,,S$0.00 ,"58,837.61 "
No,1249,70080013,Processing fees,Cost of Goods Sold,fka DCI-Processing fees,,S$0.00 ,"30,919.75 "
No,1345,70080014,Lounge,Cost of Goods Sold,,,S$0.00 ,"27,748.47 "
No,1346,70080015,Fee waiver,Cost of Goods Sold,,,S$0.00 ,0.00 
No,1347,70080016,Anti-Money Laundering (AML),Cost of Goods Sold,,,S$0.00 ,0.00 
No,1348,70080017,Risk & Compliance,Cost of Goods Sold,,,S$0.00 ,0.00 
No,1349,70080018,Maintenance,Cost of Goods Sold,,,S$0.00 ,"44,987.01 "
No,1350,70080019,Training,Cost of Goods Sold,,,S$0.00 ,"4,985.36 "
Yes,328,70090000,Credit,Cost of Goods Sold,,,S$0.00 ,"1,228,852.69 "
No,844,70090001,Credit-Litigation Search,Cost of Goods Sold,,,S$0.00 ,"639,922.72 "
No,845,70090002,Credit-Others,Cost of Goods Sold,,,S$0.00 ,"224,600.99 "
No,846,70090003,Credit Authorisation,Cost of Goods Sold,,,S$0.00 ,"356,347.24 "
No,847,70090004,Forged Charges,Cost of Goods Sold,,,S$0.00 ,"7,981.74 "
Yes,329,70100000,Embossing,Cost of Goods Sold,,,S$0.00 ,"544,481.21 "
No,848,70100001,Card Artwork-Certification of new card design,Cost of Goods Sold,fka Card Artwork-DCI-Certification of new card design,,S$0.00 ,"2,275.63 "
No,849,70100002,Card Replacement exp,Cost of Goods Sold,,,S$0.00 ,0.00 
No,850,70100003,Card Replacement exp-Waiver,Cost of Goods Sold,,,S$0.00 ,0.00 
No,851,70100004,Card Plastics,Cost of Goods Sold,fka Card Usage,,S$0.00 ,"350,377.56 "
No,1237,70100005,Consumables,Cost of Goods Sold,,,S$0.00 ,"3,540.00 "
No,1261,70100006,Embossing Machine/Software,Cost of Goods Sold,,,S$0.00 ,"188,288.02 "
Yes,330,70110000,Collection,Cost of Goods Sold,,,S$0.00 ,"1,308,333.05 "
No,852,70110001,Collection Fee,Cost of Goods Sold,,,S$0.00 ,"974,195.65 "
No,1295,70110011,Cardholder Repayment,Cost of Goods Sold,,,S$0.00 ,"334,137.40 "
Yes,1199,70120000,Interchange Fee exp,Cost of Goods Sold,,,S$0.00 ,"37,187.66 "
No,1209,70120001,Interchange Fee exp,Cost of Goods Sold,,,S$0.00 ,"37,187.66 "
Yes,1283,70130000,Brand & Marcom,Cost of Goods Sold,,,S$0.00 ,"1,255,426.10 "
No,1284,70130001,Events & Sponsorships,Cost of Goods Sold,fka Events,,S$0.00 ,"577,682.90 "
No,1286,70130002,Media,Cost of Goods Sold,,,S$0.00 ,"501,374.57 "
No,1287,70130003,CSR,Cost of Goods Sold,,,S$0.00 ,0.00 
No,1288,70130004,Comms,Cost of Goods Sold,,,S$0.00 ,"131,856.64 "
No,1289,70130005,Misc,Cost of Goods Sold,,,S$0.00 ,"44,511.99 "
No,1310,70130006,Customer Incentives,Cost of Goods Sold,fka Sponsorships,,S$0.00 ,0.00 
Yes,1305,70140000,Payments & Innovation,Cost of Goods Sold,,,S$0.00 ,"7,760.00 "
No,1306,70140001,TA Direct Cost,Cost of Goods Sold,,,S$0.00 ,0.00 
No,1307,70140002,VA Direct Cost,Cost of Goods Sold,,,S$0.00 ,0.00 
No,1326,70140003,Miscellaneous,Cost of Goods Sold,,,S$0.00 ,"7,760.00 "
Yes,331,71000000,Technology Expenses,Cost of Goods Sold,,,S$0.00 ,"8,260,910.47 "
No,853,71010001,Hardware Consumables,Cost of Goods Sold,,,S$0.00 ,"64,558.66 "
No,854,71010002,Hardware Operations & Maintenance,Cost of Goods Sold,,,S$0.00 ,"833,893.18 "
No,1244,71010003,Insurance - Equipments,Cost of Goods Sold,,,S$0.00 ,482.06 
No,855,71020001,Software,Cost of Goods Sold,,,S$0.00 ,"278,581.16 "
No,856,71020002,Software Maintenance,Cost of Goods Sold,,,S$0.00 ,"348,849.13 "
No,857,71020003,Software License fee,Cost of Goods Sold,,,S$0.00 ,"1,092,032.07 "
No,858,71030001,Software License fee-system & software development,Cost of Goods Sold,,,S$0.00 ,"725,830.52 "
No,859,71030002,System & software development-System Maint,Cost of Goods Sold,,,S$0.00 ,"1,346,194.79 "
No,860,71040001,Domain / SSL,Cost of Goods Sold,,,S$0.00 ,"66,427.20 "
No,861,71050001,Certification,Cost of Goods Sold,,,S$0.00 ,"101,275.89 "
No,862,71060001,Data Center,Cost of Goods Sold,,,S$0.00 ,"1,800,807.35 "
No,863,71070001,Internet service provider / Connectivity,Cost of Goods Sold,,,S$0.00 ,"979,564.86 "
No,1276,71070002,Outsourcing and Vendor Special Service,Cost of Goods Sold,,,S$0.00 ,"622,413.60 "
No,1344,70040015,Customer Compensation,Cost of Goods Sold,,,S$0.00 ,0.00 
No,1399,70080020,Card Fee exp,Cost of Goods Sold,,,S$0.00 ,0.00 
Yes,446,72000000,Staff Costs,Other Expense,,,S$0.00 ,"39,823,556.07 "
No,447,72010001,Salaries,Other Expense,,,S$0.00 ,"30,739,525.55 "
No,448,72010002,AWS,Other Expense,,,S$0.00 ,"332,854.92 "
No,449,72010003,Bonus,Other Expense,,,S$0.00 ,"271,088.86 "
No,450,72010004,Employer CPF,Other Expense,,,S$0.00 ,"3,449,373.07 "
No,451,72010005,Employer CPF-AWS,Other Expense,,,S$0.00 ,0.00 
No,452,72010006,Employer CPF-Bonus,Other Expense,,,S$0.00 ,0.00 
No,453,72010007,FWL,Other Expense,,,S$0.00 ,"128,131.42 "
No,454,72010008,SDL,Other Expense,,,S$0.00 ,"43,426.34 "
No,455,72010009,Mobile Allowance,Other Expense,,,S$0.00 ,"5,761.88 "
No,456,72010010,Transport Allowance,Other Expense,,,S$0.00 ,"472,518.62 "
No,457,72010011,Collection Incentive,Other Expense,,,S$0.00 ,"82,290.65 "
No,458,72010012,Credit-Inbound Call Allowance,Other Expense,,,S$0.00 ,"64,817.28 "
No,459,72010013,Credit Authorisation-Duty Allowance,Other Expense,,,S$0.00 ,"58,140.00 "
No,460,72010014,Other Allowance,Other Expense,,,S$0.00 ,"332,959.12 "
No,461,72010015,Unutilised Leave,Other Expense,,,S$0.00 ,"264,472.97 "
No,1193,72010016,Salary in-lieu / deduction,Other Expense,,,S$0.00 ,"(384,360.77)"
No,1225,72010017,Staff Commission,Other Expense,,,S$0.00 ,"1,551,037.39 "
No,1292,72010018,Ex-Gratia,Other Expense,,,S$0.00 ,"256,240.00 "
No,1293,72010019,Angbao Bonus,Other Expense,,,S$0.00 ,"166,915.30 "
No,1294,72010020,One-Time Special Allowance,Other Expense,,,S$0.00 ,"646,886.00 "
No,1343,72010021,Director fee,Other Expense,,,S$0.00 ,"20,000.00 "
No,1407,72010022,Productivity Incentive - CSD,Other Expense,,,S$0.00 ,0.00 
No,462,72011001,Diners Card CashBack-Staff,Other Expense,,,S$0.00 ,0.00 
No,463,72020001,Salaries-Temp Staff,Other Expense,,,S$0.00 ,"4,098.00 "
No,464,72020002,Employer CPF-Temp Staff,Other Expense,,,S$0.00 ,0.00 
No,465,72020003,FWL-Temp Staff,Other Expense,,,S$0.00 ,0.00 
No,466,72020004,SDL-Temp Staff,Other Expense,,,S$0.00 ,0.00 
No,467,72030001,Overtime Salaries,Other Expense,,,S$0.00 ,"385,301.40 "
No,468,72030002,OT meals,Other Expense,,,S$0.00 ,"11,631.27 "
No,469,72040001,Pre-employment Check up,Other Expense,,,S$0.00 ,403.35 
No,470,72040002,Medical expense,Other Expense,,,S$0.00 ,"2,858.18 "
No,471,72040003,Dental expense,Other Expense,,,S$0.00 ,"4,566.59 "
No,472,72040004,Professional Membership fees,Other Expense,,,S$0.00 ,"1,291.40 "
No,473,72040005,Staff Travel Benefits,Other Expense,,,S$0.00 ,0.00 
No,474,72040006,Other Staff Benefits,Other Expense,,,S$0.00 ,"64,199.54 "
No,475,72040007,Club Subscription,Other Expense,,,S$0.00 ,"2,202.00 "
No,476,72040008,Staff Training,Other Expense,,,S$0.00 ,"2,110.53 "
No,477,72040009,Teambuilding,Other Expense,,,S$0.00 ,"17,692.08 "
No,478,72040010,Recruitment,Other Expense,,,S$0.00 ,"49,758.38 "
No,1151,72040011,Staff Relocation exp,Other Expense,,,S$0.00 ,"25,000.03 "
No,1172,72040012,Employee-EP/DP/Work Permit,Other Expense,,,S$0.00 ,"10,753.20 "
No,479,72050001,Group Term Life insurance,Other Expense,,,S$0.00 ,"140,129.59 "
No,480,72050002,Personal Accident insurance,Other Expense,,,S$0.00 ,"5,096.43 "
No,481,72050003,Medical insurance,Other Expense,,,S$0.00 ,"211,776.63 "
No,482,72050004,Hospitalisation & Surgery insurance,Other Expense,,,S$0.00 ,"158,970.78 "
No,483,72050005,NTUC/AIA/GE Ins-Portable Group Incomeshield,Other Expense,,,S$0.00 ,0.00 
No,484,72050006,Union Building Fund/Check Off,Other Expense,,,S$0.00 ,"1,924.00 "
No,1133,72050007,Work Injury Comp Ins,Other Expense,,,S$0.00 ,"9,103.73 "
No,1202,72050008,Director & Officer Liability,Other Expense,,,S$0.00 ,"37,627.57 "
No,1257,72050009,Dental Insurance,Other Expense,,,S$0.00 ,"71,431.72 "
No,1260,72050010,Travel Insurance,Other Expense,,,S$0.00 ,"1,449.00 "
No,1147,72060001,Manpower-Outsourced,Other Expense,,,S$0.00 ,"150,540.57 "
No,1268,72070001,Government Paid Leave,Other Expense,,,S$0.00 ,"(48,438.50)"
Yes,227,73000000,Office Expenses,Other Expense,,,S$0.00 ,"1,524,232.14 "
No,485,73010001,Office rental,Other Expense,,,S$0.00 ,"165,278.91 "
No,486,73020001,Copier Rental,Other Expense,,,S$0.00 ,"11,894.47 "
No,487,73030001,Office Insurance-All Risk,Other Expense,,,S$0.00 ,521.14 
No,488,73030002,Office Insurance-Public Liability,Other Expense,,,S$0.00 ,50.27 
No,489,73030003,Office Insurance-Fire,Other Expense,,,S$0.00 ,"5,304.08 "
No,490,73030004,Office Insurance-Money,Other Expense,,,S$0.00 ,0.00 
No,491,73040001,Office Utilities,Other Expense,,,S$0.00 ,"232,943.60 "
No,492,73050001,Office Expense,Other Expense,,,S$0.00 ,"56,787.40 "
No,493,73050002,Office Expense-S/A Insert,Other Expense,,,S$0.00 ,0.00 
No,494,73050003,Office Cleaning expenses,Other Expense,,,S$0.00 ,"82,853.56 "
No,495,73050004,"Office D&D, Festive",Other Expense,,,S$0.00 ,"34,321.64 "
No,496,73050005,Pantry supplies,Other Expense,,,S$0.00 ,"19,392.73 "
No,497,73050006,Office Stationery,Other Expense,,,S$0.00 ,"21,850.11 "
No,498,73050007,"P/Forms-SOA,PYT VOC/REMIT",Other Expense,,,S$0.00 ,"124,819.18 "
No,499,73050008,"P/Forms-Input form,Folder",Other Expense,,,S$0.00 ,0.00 
No,500,73050009,Printing expenses,Other Expense,,,S$0.00 ,"70,117.47 "
No,501,73050010,PO BOX,Other Expense,,,S$0.00 ,400.00 
No,502,73050011,Postage,Other Expense,,,S$0.00 ,"316,785.95 "
No,503,73050012,Courier charges,Other Expense,,,S$0.00 ,"22,406.49 "
No,504,73050013,Newspaper Subscriptions,Other Expense,,,S$0.00 ,495.78 
